level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,640,264,-1,
2,1,1,0,0,0,49,18,535,186,-1,
3,1,1,1,0,0,50,18,534,148,-1,
4,1,1,1,1,0,52,18,521,21,-1,
5,1,1,1,1,1,52,18,50,11,68,Screen
5,1,1,1,1,2,130,18,79,12,56,monitoring
5,1,1,1,1,3,251,18,28,12,74,with
5,1,1,1,1,4,304,20,57,11,44,OpenCv.
5,1,1,1,1,5,395,20,26,11,28,and
5,1,1,1,1,6,439,21,73,11,90,Tesseract
5,1,1,1,1,7,542,21,31,18,18,OcR
4,1,1,1,2,0,147,34,437,21,-1,
5,1,1,1,2,1,147,38,94,17,36,onitoring
5,1,1,1,2,2,249,34,45,18,96,with
5,1,1,1,2,3,449,37,84,15,91,esseract
5,1,1,1,2,4,542,37,42,16,96,OCR
4,1,1,1,3,0,59,84,106,12,-1,
5,1,1,1,3,1,59,84,44,11,96,Speed
5,1,1,1,3,2,126,85,39,11,93,100%
4,1,1,1,4,0,49,83,113,46,-1,
5,1,1,1,4,1,49,83,50,46,75,speed
5,1,1,1,4,2,110,96,52,33,4,19%
4,1,1,1,5,0,57,122,392,21,-1,
5,1,1,1,5,1,57,122,43,15,17,Theed
5,1,1,1,5,2,109,118,6,32,32,=
5,1,1,1,5,3,114,118,6,32,32,â€”
5,1,1,1,5,4,130,123,31,18,52,9%
5,1,1,1,5,5,364,132,47,11,80,Status
5,1,1,1,5,6,425,132,24,11,80,Idle
4,1,1,1,6,0,122,137,326,31,-1,
5,1,1,1,6,1,122,137,35,31,54,13.1
5,1,1,1,6,2,423,147,25,13,67,idle
3,1,1,2,0,0,298,173,217,14,-1,
4,1,1,2,1,0,298,173,217,14,-1,
5,1,1,2,1,1,298,173,37,11,95,Error
5,1,1,2,1,2,363,179,51,8,93,messages
5,1,1,2,1,3,424,173,91,12,47,CriticalError
3,1,1,3,0,0,296,179,217,25,-1,
4,1,1,3,1,0,296,179,110,25,-1,
5,1,1,3,1,1,286,175,47,35,89,Error
5,1,1,3,1,2,332,175,71,35,89,messages
